true P = 50, A = 0.005
i time mag error
0 374.54011884736246 0.00033436288017977547 0.0013087254305484046
1 950.7143064099162 -0.00020339085199009844 0.001962280203709635
2 731.9939418114051 -0.0017061946717045829 0.002065178865103172
3 598.6584841970366 -0.00020499346972691589 0.0011036470736448538
4 156.01864044243652 0.0014061213242373594 0.0016732085563878412
5 155.99452033620264 0.003606679212890094 0.0012688293538779486
6 58.08361216819946 0.0035877693186915083 0.0011267499409455355
7 866.1761457749352 0.005328340756897178 0.0029799204647798904
8 601.1150117432088 -9.42283292977925e-05 0.0016447076899494461
9 708.0725777960455 0.004131162026800822 0.0026197488917092697
10 20.584494295802447 0.003139146270604208 0.0015092813095275276
11 969.9098521619943 0.003850315882708823 0.0023630054444478583
12 832.4426408004217 -0.005224092790824443 0.0025204557197793733
13 212.33911067827614 0.004664476885370336 0.0021912774812156885
14 181.82496720710063 -0.004256483732729427 0.0019431523771003168
15 183.4045098534338 -0.005005643511397456 0.001823681828294537
16 304.24224295953775 0.004306464946569993 0.0016977365330859908
17 524.7564316322379 0.0005579963358235042 0.0028590582884956517
18 431.94501864211577 -0.0050913380642537125 0.0026612388155754585
19 291.22914019804193 -0.0035431056330442272 0.002930053821333025
20 611.8528947223795 0.007105633905109864 0.0012485944469710895
21 139.49386065204183 -0.0038114084165471796 0.0024617349504072886
22 292.14464853521815 -0.005691616058464106 0.0028766809136420756
23 366.3618432936917 0.003938456226167034 0.0013624661323313203
24 456.06998421703594 0.004721568390296528 0.001132992534733555
25 785.1759613930136 -0.005495951647644956 0.002482241298580118
26 199.67378215835973 0.00023890811624495973 0.0021489462263598238
27 514.2344384136117 0.005656341456373131 0.002683657553516544
28 592.4145688620424 -0.005003332853036918 0.001279544753252579
29 46.45041271999772 -0.0022165716405274545 0.0025905346237197805
30 607.5448519014384 0.0008203178346428367 0.001403254640095489
31 170.52412368729154 0.001641936260671638 0.001327311885731409
32 65.05159298527951 0.0044925972077883465 0.001328531595861986
33 948.8855372533333 -0.0019457340252882864 0.0026291494404627642
34 965.6320330745593 0.006250116080262643 0.0023303944413924004
35 808.3973481164611 0.0029199561579314514 0.0020461308495382385
36 304.6137691733707 0.0022991689662678135 0.001717660968247005
37 97.67211400638386 -0.0013111414856547185 0.0027544010816262167
38 684.2330265121569 -0.0031432539185758555 0.0017848902148452708
39 440.1524937396013 -0.0061606651063741075 0.002633198878943154
40 122.03823484477883 0.002981428720194617 0.001878269817140437
41 495.17691011127016 -0.002838047378490622 0.0017538888588498152
42 34.388521115218396 -0.005604150756806524 0.0019253595713392129
43 909.3204020787821 0.005068264604387836 0.0016027557483282843
44 258.7799816000169 0.004662612947872382 0.0024952187603525023
45 662.522284353982 0.004399763518170592 0.002005440780184958
46 311.71107608941094 0.005045250799431429 0.0014644253902936348
47 520.0680211778108 0.002518929170100971 0.0027991491465491373
48 546.7102793432797 -0.0018951018843742387 0.0017677824427464227
49 184.85445552552704 -0.00406409908019688 0.002087105722227977
50 969.5846277645586 0.0047319866652037615 0.002812944221929094
51 775.1328233611146 -0.0013212670029810582 0.002248475991827984
52 939.4989415641891 -0.0027100477755864836 0.001233796081416728
53 894.8273504276489 -0.004978076810948826 0.0028796642472269504
54 597.8999788110851 -0.001456005478980612 0.0022554161061428355
55 921.8742350231169 0.0025021784213816274 0.0016698112293141722
56 88.4925020519195 -0.004680169894166809 0.0012785441453267744
57 195.9828624191452 -0.0030408982445750197 0.002588050378540592
58 45.227288910538064 -0.003030329951084385 0.002240145511857027
59 325.3303307632643 -0.0007004942728740424 0.002066922183952643
60 388.677289689482 -0.0055347469628267195 0.0027877851661019153
61 271.3490317738959 0.0030639387113507058 0.0025771944224490615
62 828.7375091519293 -0.0019059413939642661 0.0013033497594655023
63 356.75332669358926 0.0030590277145473356 0.0016234441355910964
64 280.93450968738074 -0.0024930239169621 0.0014969782796289315
65 542.6960831582485 -0.00366414812261833 0.0024878925851453543
66 140.92422497476264 -0.003731339448166763 0.0010670648694715587
67 802.1969807540397 0.001992563408475396 0.002139779369742633
68 74.55064367977083 -0.000546806128893266 0.002524917371481381
69 986.8869366005173 -0.005545350543223417 0.002753531273523499
70 772.2447692966574 0.0024440750899006724 0.001684163497431815
71 198.7156815341724 -0.00019309217278751733 0.002642514609344026
72 5.522117123602399 0.003176913544614876 0.0012212634739104146
73 815.4614284548342 0.0047750767461640885 0.0026929045834690364
74 706.8573438476171 0.0050724805975538335 0.001254977324663965
75 729.0071680409873 -0.00300428550300675 0.0017945745811207346
76 771.2703466859457 0.0028056516670097653 0.0025945907315591075
77 74.04465173409037 0.0003966295104790336 0.0012998348546975477
78 358.4657285442726 0.004153437805839119 0.001458502790465283
79 115.86905952512971 0.005657327946928749 0.0024445051367861324
80 863.1034258755935 0.005811048244222907 0.0024400730730921487
81 623.2981268275579 0.0018746953509312368 0.002282295265770595
82 330.8980248526492 -0.002070269859680843 0.0023878968889342
83 63.55835028602363 0.004976848997556322 0.0020854488866951923
84 310.9823217156622 0.005591295751830904 0.0015035981178139054
85 325.183322026747 -0.0004254411952789006 0.001691391987007839
86 729.6061783380641 -0.0024110558114066034 0.0013631954336028513
87 637.5574713552131 -0.005130012659431702 0.0028169011226672567
88 887.2127425763265 -0.004899746754957501 0.002166783589532241
89 472.2149251619493 0.002309565398698956 0.0018017028335272798
90 119.5942459383017 0.0023230497423515598 0.0019240116072882655
91 713.244787222995 0.007070504262180434 0.002894566679223631
92 760.7850486168975 0.003878322969192588 0.0013067028062321603
93 561.2771975694963 0.0037268975094658222 0.0021724596640335945
94 770.967179954561 0.0035849294145419426 0.002011777357768932
95 493.79559636439075 -0.0027235553550073043 0.002222908470869296
96 522.7328293819941 0.002029432333154297 0.001036220367641681
97 427.54101835854965 -0.0009412300225880014 0.002744247817888303
98 25.419126744095188 -0.0002754701354232459 0.002864236564967225
99 107.89142699330445 0.003287440202889429 0.002130266367178418
100 31.42918568673425 -0.003538436465658141 0.0023933016477537847
101 636.4104112637804 -0.005630365968899074 0.0028449987623545914
102 314.35598107632666 0.005839745105805652 0.002414477268626797
103 508.5706911647028 0.004255700703058971 0.0013050780858285228
104 907.5664739260931 0.0032439962689916916 0.0021525767203336263
105 249.29222914887495 -0.000765505306039221 0.0022134300927657115
106 410.38292303562974 0.005237029766151747 0.0018482613426047722
107 755.5511385430486 0.002648087004545603 0.0024728884712494456
108 228.79816549162246 -0.0031190959221637417 0.0028687340295380295
109 76.979909828793 -0.0009875318234236537 0.002851137025813553
110 289.75145291376805 -0.004556247088320686 0.0019016787428082643
111 161.2212872540044 0.004428644192467412 0.0012264760916815105
112 929.6976523425731 -0.003254191074280136 0.0029696823979246693
